label	text
ham	Hey, are you coming to the party tonight?
ham	I'll be there in 10 minutes, just stuck in traffic.
ham	Can you pick up some milk on your way home?
ham	Meeting has been rescheduled to 3 PM tomorrow.
ham	Happy birthday! Hope you have an amazing day!
ham	Thanks for sending over those documents, I'll review them today.
ham	Did you see the game last night? What a finish!
ham	Running late, sorry. Be there in 15.
ham	Mom said dinner is at 7, don't forget.
ham	Just finished the report. Let me know if you need any changes.
ham	Can we grab coffee sometime this week?
ham	I left my keys at your place. Can I swing by later?
ham	Good morning! Hope you have a great day ahead.
ham	The kids are at soccer practice until 5.
ham	Confirmed your appointment for Thursday at 2:30 PM.
ham	Hey, did you get my email about the project update?
ham	I'm at the grocery store. Need anything?
ham	Let's catch up this weekend. It's been too long!
ham	Flight lands at 8:45 PM. Can you pick me up?
ham	Don't forget to submit your timesheet by Friday.
ham	The weather looks great for a hike this Saturday.
ham	Just saw your message. I'll call you back in an hour.
ham	Congrats on the promotion! Well deserved!
ham	Can you send me the address for tomorrow's venue?
ham	I'll be working from home today, reach me on Slack.
ham	Pizza or Chinese for dinner tonight?
ham	Your package has been delivered to the front door.
ham	Reminder: dentist appointment at 10 AM on Monday.
ham	Thanks for the help yesterday, really appreciate it.
ham	Are we still on for lunch tomorrow?
ham	Just got home. What a long day!
ham	The presentation went really well, the client loved it.
ham	Do you have the notes from today's lecture?
ham	Happy anniversary! Wishing you both many more years together.
ham	I need to reschedule our call. How about Wednesday?
ham	The dog has a vet appointment at 4 PM today.
ham	Can you review the pull request when you get a chance?
ham	Heading to the gym. Want to join?
ham	I'll pick up the kids from school today.
ham	Your reservation is confirmed for Saturday at 7:30 PM.
ham	Hey, have you tried that new restaurant on Main Street?
ham	I'm running low on data. Can you send the wifi password?
ham	The plumber is coming between 9 and 11 tomorrow.
ham	Great job on the quarterly results!
ham	Can you believe it's already June? Time flies.
ham	Movie starts at 8. Let's meet at 7:30 outside the theater.
ham	I found that book you were looking for. Want me to grab it?
ham	Sorry I missed your call. Everything okay?
ham	My train arrives at Central Station at 6:15.
ham	Don't forget to water the plants while I'm away.
ham	Thanks for dinner last night! The food was delicious.
ham	I just updated the spreadsheet with the new figures.
ham	Where did you park? I can't find the car.
ham	Let me know when you're free to discuss the budget.
ham	The AC repair guy is here. Looks like it needs a new part.
ham	Happy holidays! Hope you're enjoying the break.
ham	I forwarded you the email from the contractor.
ham	Is it okay if I bring a friend to the barbecue?
ham	Just booked our hotel for the trip. So excited!
ham	The network is down again. IT is looking into it.
ham	Can you print 20 copies of the handout for the meeting?
ham	I'll be in a meeting from 2-4, text if it's urgent.
ham	She said yes! We're engaged!
ham	Picked up your prescription from the pharmacy.
ham	The school called, Emma is feeling sick. Can you pick her up?
ham	Thanks for the birthday wishes! Feeling grateful.
ham	I think I left the stove on. Can you check?
ham	Team lunch is at noon today at the Italian place.
ham	Your car insurance is due next week. Don't forget to renew.
ham	We need to talk about the holiday plans.
ham	Just finished watching that show you recommended. So good!
ham	I'm stuck at the office. Can you start dinner without me?
ham	Grandma wants to video call at 5 this evening.
ham	Did you remember to pay the electric bill?
ham	How's the new job going? Hope you're settling in well.
ham	I'll bring the dessert for Thanksgiving dinner.
ham	The leak in the bathroom seems to be getting worse.
ham	Need help moving this Saturday. Pizza and beer provided!
ham	Just dropped off the dry cleaning. Should be ready Wednesday.
ham	Can you look up the train schedule for me?
ham	I signed us up for the charity run next month.
ham	Sorry, wrong number!
ham	Can't make it tonight. Feeling under the weather.
ham	The quarterly review is next Tuesday. Prepare your slides.
ham	I loved the gift! Thank you so much.
ham	Your brother called. He wants you to call him back.
ham	We should plan a road trip for the long weekend.
ham	Got the test results back. Everything looks normal.
ham	Please RSVP for the wedding by the 20th.
ham	The Wi-Fi password is sunflower2024.
ham	Want to carpool tomorrow? I can drive.
ham	I need your opinion on something. Call me when you can.
ham	The landlord approved our request for a new dishwasher.
ham	Do you still have my blue jacket from last time?
ham	Heading to bed early. Talk tomorrow?
ham	Traffic is horrible on the highway. Take the back roads.
ham	Just submitted the application. Fingers crossed!
ham	The baby took her first steps today!
ham	What time does the store close on Sundays?
ham	I emailed you the itinerary for next week.
ham	Practice is cancelled due to rain.
ham	Hope your interview went well! Tell me all about it.
ham	Where should we meet before the concert?
ham	Can you give me a ride to the airport tomorrow morning?
ham	I made a reservation for four at 7 PM.
ham	The fire alarm went off but it was just burnt toast.
ham	Need your mailing address for the invitation.
ham	Let's plan a surprise party for Dad's 60th!
ham	I found a great deal on flights to Barcelona.
ham	Please bring your laptop to the meeting tomorrow.
ham	Just wanted to say thanks for always being there.
ham	Your subscription has been renewed for another year.
ham	I'm craving sushi. Want to get some tonight?
ham	Remember to take your medicine before bed.
ham	The game got postponed to next week.
ham	Check out this recipe I found online. Let's try it!
ham	Do you know a good electrician? We need some work done.
ham	Just saw the funniest thing at the park today.
ham	I passed the exam! All that studying paid off.
ham	Can you watch the dog this weekend? We're going out of town.
ham	Your mom's birthday is coming up. Any gift ideas?
ham	I accidentally deleted the file. Can you resend it?
ham	The construction next door is so loud today.
ham	We need more chairs for the party. Can you borrow some?
ham	I'll send you the photos from the trip tonight.
ham	Have you heard back from the insurance company yet?
ham	The laundry is done. I hung everything out to dry.
ham	What channel is the match on tonight?
ham	I got a flat tire. Can you come help me?
ham	The garden is looking beautiful this time of year.
ham	Our flight has been delayed by two hours.
ham	Don't forget to lock the back door before you leave.
ham	I spoke to the teacher. She said Jake is doing great.
ham	Let me know if the 15th works for our anniversary dinner.
ham	Can you drop off the library books on your way?
ham	I'm going for a walk. Back in 30 minutes.
ham	Your dentist office called to confirm your cleaning.
ham	Should we get a new couch or fix the old one?
ham	I made your favorite cookies. Come grab some!
ham	The meeting room on the 3rd floor is booked all day.
ham	We ran out of coffee. Adding it to the shopping list.
ham	That sunset last night was absolutely stunning.
ham	How much do I owe you for the concert tickets?
ham	The new hire starts on Monday. Can you help with onboarding?
ham	I'll be offline for the rest of the day. Email me if urgent.
ham	Your order from Amazon should arrive by Thursday.
ham	Any recommendations for a good book to read?
ham	I moved the car to the other side of the street.
ham	Congrats on finishing the marathon! Amazing achievement!
ham	The pipes froze again. I'm calling the plumber.
ham	Are you free for a quick sync at 4?
ham	I miss you. Can't wait to see you next week.
ham	The kids loved the present you sent. Thank you!
ham	I'm thinking of taking a cooking class. Want to join?
ham	The alarm company is sending someone to fix the sensor.
ham	My phone is almost dead. Text me on WhatsApp instead.
ham	Did you finish the assignment? It's due at midnight.
ham	Let's set up a group chat for the trip planning.
ham	I'll handle the groceries this week.
ham	The doctor said to rest and drink plenty of fluids.
ham	Just saw the northern lights! Wish you were here.
ham	Can you check if the garage door is closed?
ham	We're thinking of getting a puppy. Thoughts?
ham	Your dad and I are proud of you. Keep up the great work.
ham	I need a new charger. This one barely works anymore.
ham	Want to go to the farmers market on Saturday?
ham	I updated the shared calendar with everyone's availability.
ham	That meeting could have been an email honestly.
ham	Dinner was amazing. You really outdid yourself!
ham	I'm at the DMV. This is going to take forever.
ham	The neighbors invited us for a cookout on Sunday.
ham	Can you take out the trash before you leave?
ham	I returned the shoes. They didn't fit right.
ham	New episode of our show drops tonight!
ham	Are you going to the office holiday party?
ham	I'll save you a seat at the front.
ham	The rent is due on the 1st. Don't forget to transfer.
ham	I got us tickets to the basketball game next Friday!
ham	Please add butter and eggs to the grocery list.
ham	How's the remodel going? Send pics!
ham	I have a dentist appointment so I'll be late to work.
ham	Let's plan a game night this Friday.
ham	I'm picking up Thai food. Want your usual?
ham	The new season of that show is actually pretty good.
ham	Can you help me proofread my resume?
ham	The babysitter cancelled. Can your mom watch the kids?
ham	I'm thinking of painting the bedroom blue. What do you think?
ham	Just got back from the doctor. Everything is fine.
ham	The power went out but it should be back soon.
ham	I found my old yearbook. We looked so young!
ham	Your lunch is in the fridge. Don't forget it this time.
ham	I'll be home late. There's leftover pasta in the fridge.
ham	Can you FedEx the contract to the client today?
ham	Thinking about going back to school for my MBA.
ham	The exterminator is coming Thursday between 1 and 3.
ham	I need to renew my passport before the trip.
ham	How are you feeling today? Any better?
ham	The school fundraiser is this Friday. Can you bake something?
ham	I changed the oil in the car. Should be good for another 5000 miles.
ham	Let me know if you find my sunglasses anywhere.
ham	The internet has been so slow today.
ham	I'll bring the camping gear. You handle food and drinks.
ham	Did you see the news this morning? Crazy stuff.
ham	My flight got cancelled. Trying to rebook now.
ham	I finally cleaned out the garage. It looks so much better.
ham	Can you spot me $20 until Friday? I'll pay you back.
ham	Just got a haircut. It's a bit shorter than I expected.
ham	The school play is next Thursday at 6 PM. Save the date!
ham	I'm stuck in a boring meeting. Send help.
ham	Want to try that new escape room downtown?
ham	I think the smoke detector battery needs replacing.
ham	Your sister called. She's coming to visit next month.
ham	We should start planning the holiday gifts soon.
ham	The car is making a weird noise. I'll take it to the shop.
ham	I'm so proud of how far you've come. Keep going!
ham	Can you wire me the payment for the furniture?
ham	I made a to-do list for this weekend. We have a lot to get done.
